step,gini
0,0.033081
1,0.042231
2,0.047492
3,0.056269
4,0.065678
5,0.078170
6,0.085639
7,0.079930
8,0.099332
9,0.091600
10,0.089477
11,0.105717
12,0.122570
13,0.118231
14,0.114384
15,0.113530
16,0.121804
17,0.129760
18,0.137430
19,0.133332
20,0.121767
21,0.116528
22,0.115546
23,0.101556
24,0.101156
25,0.101040
26,0.104925
27,0.110878
28,0.098704
29,0.108371
30,0.105718
31,0.102740
32,0.103264
33,0.109261
34,0.114601
35,0.121217
36,0.129963
37,0.130612
38,0.142536
39,0.136807
40,0.134681
41,0.125622
42,0.121214
43,0.136518
44,0.134847
45,0.137907
46,0.127102
47,0.139727
48,0.147437
49,0.152003
50,0.140967
51,0.135117
52,0.131989
53,0.128349
54,0.128650
55,0.136106
56,0.131713
57,0.141929
58,0.142967
59,0.133711
60,0.134187
61,0.140937
62,0.131394
63,0.138778
64,0.150530
65,0.146455
66,0.139966
67,0.142708
68,0.150348
69,0.143381
70,0.151320
71,0.142662
72,0.156985
73,0.171261
74,0.168156
75,0.178120
76,0.176417
77,0.176759
78,0.162392
79,0.155227
80,0.148947
81,0.132125
82,0.131387
83,0.125859
84,0.121679
85,0.121331
86,0.121679
87,0.136758
88,0.138195
89,0.134810
90,0.137113
91,0.139234
92,0.139955
93,0.137727
94,0.139210
95,0.146166
96,0.140933
97,0.144044
98,0.145263
99,0.149581
100,0.153968
101,0.163883
102,0.172065
103,0.175161
104,0.164429
105,0.159957
106,0.153721
107,0.153760
108,0.150167
109,0.142362
110,0.145719
111,0.153025
112,0.163481
113,0.160697
114,0.167435
115,0.167834
116,0.153797
117,0.151098
118,0.152683
119,0.157632
120,0.158176
121,0.146079
122,0.136459
123,0.129162
124,0.127160
125,0.133628
126,0.129548
127,0.130384
128,0.129509
129,0.129603
130,0.123872
131,0.120798
132,0.132767
133,0.141843
134,0.141918
135,0.147891
136,0.143632
137,0.157125
138,0.138118
139,0.128461
140,0.129470
141,0.144333
142,0.137886
143,0.150648
144,0.163084
145,0.163356
146,0.162117
147,0.165630
148,0.167114
149,0.175462
150,0.177195
151,0.177945
152,0.195997
153,0.193295
154,0.193914
155,0.205361
156,0.200706
157,0.201403
158,0.209239
159,0.202354
160,0.208895
161,0.209131
162,0.197345
163,0.189932
164,0.183558
165,0.185862
166,0.193973
167,0.184656
168,0.180383
169,0.176323
170,0.172270
171,0.167936
172,0.152515
173,0.147393
174,0.146474
175,0.150525
176,0.156786
177,0.161594
178,0.164978
179,0.162023
180,0.156261
181,0.155381
182,0.149579
183,0.152695
184,0.153630
185,0.163762
186,0.174682
187,0.173514
188,0.174360
189,0.189695
190,0.200480
191,0.195507
192,0.191262
193,0.191228
194,0.171378
195,0.179564
196,0.192763
197,0.181045
198,0.169684
199,0.170069
200,0.176792
201,0.171835
202,0.156697
203,0.169935
204,0.170917
205,0.164001
206,0.153523
207,0.158129
208,0.164237
209,0.172079
210,0.174983
211,0.177092
212,0.172693
213,0.177418
214,0.167400
215,0.155870
216,0.149377
217,0.161516
218,0.162847
219,0.174019
220,0.166768
221,0.155836
222,0.153240
223,0.150944
224,0.140788
225,0.142001
226,0.151046
227,0.149344
228,0.154065
229,0.155261
230,0.156824
231,0.164509
232,0.155096
233,0.157144
234,0.161656
235,0.158627
236,0.164043
237,0.163120
238,0.164749
239,0.173380
